City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,queenstown,-31.8976,26.8753,10.97,79,2,0.99,ZA,1709683001
114,vila franca do campo,37.7167,-25.4333,16.23,83,89,9.54,PT,1709682665
115,namibe,-15.1961,12.1522,23.46,82,16,1.56,AO,1709682986
116,tura,25.5198,90.2201,14.41,41,1,1.18,IN,1709682925
117,vilyuysk,63.7553,121.6247,-33.89,100,100,0.45,RU,1709683029
118,susuman,62.7833,148.1667,-22.23,95,93,1.34,RU,1709683031
119,wynyard,-41.0,145.7167,20.55,52,4,3.34,AU,1709682985
120,vorgashor,67.5833,63.95,-29.25,100,92,1.36,RU,1709682934
121,pangody,65.85,74.4859,-21.17,97,100,7.55,RU,1709682986
122,fisterra,42.9049,-9.2629,8.75,72,47,7.05,ES,1709682939
123,sorong,-0.8833,131.25,27.55,86,90,2.94,ID,1709682979
124,feijo,-8.1642,-70.3536,24.22,95,98,1.26,BR,1709683365
125,savanna-la-mar,18.219,-78.1332,26.97,85,63,0.9,JM,1709683366
126,hamilton,39.1834,-84.5333,16.35,94,100,3.6,US,1709682788
127,santiago juxtlahuaca,17.3333,-98.0167,22.7,42,0,3.37,MX,1709683366
128,yomju-up,39.8933,124.5981,0.62,39,98,6.98,KP,1709683366
129,saint-felicien,48.6501,-72.4491,4.38,100,100,7.72,CA,1709683366
130,port augusta,-32.5,137.7667,32.44,14,83,2.1,AU,1709683367
131,taiyuan,37.8694,112.5603,-0.08,74,75,1.0,CN,1709683367
132,caleta de carquin,-11.0925,-77.6267,24.24,80,93,3.65,PE,1709682956
133,flying fish cove,-10.4217,105.6791,26.82,94,100,2.06,CX,1709682964
134,barra,-11.0894,-43.1417,24.94,81,82,0.98,BR,1709683367
135,turkmenbasy,40.0222,52.9552,0.43,93,0,1.03,TM,1709683367
136,spoleto,42.7448,12.7374,9.34,93,87,1.38,IT,1709683368
137,alofi,-19.0595,-169.9187,29.94,70,40,7.2,NU,1709683013
138,iskateley,67.6803,53.1512,-19.72,100,94,1.14,RU,1709682929
139,luanda,-8.8368,13.2343,27.0,94,40,2.57,AO,1709683003
140,anadyr,64.75,177.4833,-10.72,79,100,5.0,RU,1709682940
141,constantia,44.1833,28.65,4.38,89,88,4.42,RO,1709682910
142,ilulissat,69.2167,-51.1,-10.99,85,75,4.12,GL,1709682916
143,troitsko-pechorsk,62.7084,56.1964,-19.06,99,98,2.24,RU,1709683369
144,yuzhno-kurilsk,44.0306,145.8556,-5.35,92,34,1.3,RU,1709683369
145,paros,37.0833,25.15,14.06,67,47,7.72,GR,1709683369
146,ocean city,39.2776,-74.5746,10.1,87,100,2.68,US,1709683369
147,vrangel',42.7297,133.0839,-2.52,39,4,2.22,RU,1709683370
148,chibougamau,49.9168,-74.3659,-0.21,100,100,2.57,CA,1709683031
149,aasiaat,68.7098,-52.8699,-18.53,98,95,1.65,GL,1709682946
